 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL066157-04","6706982","Alpert, Norman R","CARDIAC MYOSIN TRANSGENESIS:MOLECULAR DESIGN/PERFORMANCE","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 405,069","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL067250-02","6734631","Gokina, Natalia I","Mechanisms of uterine vascular adaptation in pregnancy","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 303,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL067273-03","6682314","Bates, Jason H","Assessment of Lung function in Mice","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 303,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL067351-04","6697313","Lounsbury, Karen M","Nuclear Transport and Transcription in Smooth Muscle","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 345,935","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL068009-04","6751571","Damon, Deborah H","Vascular/sympathetic interactions","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 227,250","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL068034-04","6781912","Maughan, David W","DO LIGHT CHAIN EXTENSIONS ENHANCE MUSCLE POWER OUTPUT?","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 335,560","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL068865-02","6721193","Vandervliet, Albert ","TOXIC ALDEHYDES AS MODULATORS OF LUNG INFLAMMATION","PATHOLOGY","SCHOOLS OF MEDICINE","$ 303,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL068991-03","6688276","Dostmann, Wolfgang R","Exploring vasomotor mechanisms using new PKG inhibitors","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL069136-04","6790650","Rincon, Mercedes R","Lung epithelium-derived IL-6 in CD4+ T cell immune resp*","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL070826-03","6765970","Tracy, Paula B","Processed Defining Megakaryocyte Endocytosis of Factor V","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 457,036","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL071306-03","6750624","Sobel, Burton E","Inflammation, Procoagulation, and Plaque Vulnerability","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 299,419","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL072851-06","6782628","Ades, Philip A","Exercise and Weight Loss in Obese Coronary Patients","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01MH058799-05","6794753","Hudziak, James J","DEVELOPMENTAL TWIN STUDY: ATTENTION, AGGRESSION, AFFECT","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 373,420","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01MH064847-03","6682722","Bouton, Mark E","Temporal and Associative Aspects of Pavlovian Learning","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 227,250","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS025767-16","6776997","Nishi, Rae ","Mechanisms of trophic molecules in neuronal development","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 339,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS026995-15","6701353","Mawe, Gary M","Neural Control of the Gallbladder","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 359,813","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS040518-05","6753546","Eckenstein, Felix P","ROLE OF FGF IN NEURONAL INJURY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 265,125","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS040796-05","6794616","Vizzard, Margaret ","PLASTICITY OF LUT INTERNEURONS FOLLOWING SPINAL CORD INJ","NEUROLOGY","SCHOOLS OF MEDICINE","$ 298,175","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS042816-03","6771815","Forehand, Cynthia J","Pattern Formation in the Sympathetic Nervous System","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 357,366","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS043122-04","6766865","Wesley, Cedric W","Different Notch Receptors in Drosophila Development","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 227,250","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS045940-02","6700811","Cipolla, Marilyn J","Cerebrovascular Changes in Pregnancy and Hypertension","NEUROLOGY","SCHOOLS OF MEDICINE","$ 251,869","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R03MH064474-02","6766973","Dumenci, Levent ","Integrating multisource data on youth psychopathology","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 75,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R21AI051850-03","6744028","Huber, Sally A","Sex in Viral Myocarditis","PATHOLOGY","SCHOOLS OF MEDICINE","$ 227,251","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R21DA016227-02","6776509","Zvolensky, Michael J","Panic and Smoking Cessation","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 147,667","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R25GM062491-04","6708899","Francklyn, Christopher S","SURE (SUMMER UNDERGRADUATE RESEARCH EXPERIENCE) PROGRAM","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 72,366","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R37DA006526-14","6719021","Bickel, Warren K","BEHAVIORAL ECONOMICS OF DRUG CHOICE","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 340,875","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32AR007568-08","6793966","Johnson, Robert J","Training in Orthopaedic Science","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 81,880","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32CA009286-26","6736826","Francklyn, Christopher S","CANCER BIOLOGY TRAINING GRANT","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 173,611","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32DA007242-15","6767736","Bickel, Warren K","BEHAVIORAL PHARMACOLOGY OF HUMAN DRUG DEPENDENCE","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 361,418","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32ES007122-23","6771177","Mossman, Brooke T","ENVIRONMENTAL PATHOLOGY TRAINING GRANT","PATHOLOGY","SCHOOLS OF MEDICINE","$ 341,068","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32HL007594-19","6750146","Mann, Kenneth G","Hemostasis and Thrombosis Program for Academic Trainees","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 63,598","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32HL007944-05","6784610","Warshaw, David M","Training in the Molecular Basis of Muscle Contraction","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 89,961","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5U01CA070013-10","6790039","Geller, Berta M","VERMONT BREAST CANCER SURVEILLANCE SYSTEM","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 658,051","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5U01HL063804-05","6752806","Sobel, Burton E","BARI II - FIBRINOLYSIS AND COAGULATION CORE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 567,854","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","7F32DC005269-03","6689545","Hendricks, Susan J","Communication among Migrating Neurons in Auditory Anlage","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 47,296","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","7R01DK061775-05","6935632","Kien, Craig L","Colonic Bacterial Synthesis of Butyric Acid","PEDIATRICS","SCHOOLS OF MEDICINE","$ 322,998","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","N01HC885086","","Tracy, Russell P","CENTRAL BLOOD ANAL LAB FOR CHS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 233,201","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","N01HC995166","","Tracy, Russell P","SUBCLIN CARDIOVASC DISEASE STY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 947,781","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
