 
"Organization Name - Effective 02-MAR-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL079331-03","7149153","Janssenheininger, Yvonne Mw","Redox-based Fas signaling in allergic airway disease","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 360,308","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL080258-03","7279197","Irvin, Charles G","Asthma Exacerbations: physiology, upper airway & fibrin","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 388,248","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL080594-03","7274746","Huber, Sally A","Sex in Myocarditis","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 287,299","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL083926-02","7233208","Cushman, Mary ","Association of Thrombophilia and Inflammation with Post-Thrombotic Syndrome","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 370,291","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL084200-02","7217545","Suratt, Benjamin T","Reciprocal regulation of SDF-1 between marrow and lung during acute lung injury","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL085489-02","7275965","Warshaw, David M","Smooth Muscle Myosin: Molecular Mechanics and Intramolecular Communication","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01MH065899-05","7171552","Hoza, Betsy ","Positive Illusions in ADHD: Processes and Consequences","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 413,483","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01MH069928-04","7218571","Forehand, Rex L","Family Cognitive-Behavioral Prevention of Depression","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 290,891","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NR010166-02","7285705","Bingham, Peter M","Assessment and Promotin of Feeding in Premature Infants","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 376,680","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS026995-18","7163829","Mawe, Gary M","Neural Control of the Gallbladder","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 341,167","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS036526-11","7257905","Teuscher, Cory ","Susceptibilty and Resistance Loci in Mouse EAE","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 448,296","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS043316-03","7225202","Cipolla, Marilyn J","Cerebral Arteriole Function during Hyperglycemic Stroke","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 299,957","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS045225-04","7260362","May, Victor ","Molecular Regulation of TIMP-2 in Neuron Cell Cycle","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 333,286","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01NS050623-04","7263063","Morielli, Anthony D","Mechanisms of Kv1.2 regulation by tyrosine kinase","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 332,190","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R21AA015777-02","7295683","Helzer, John E","IVR for Automated Alcohol Screening & BI in Primary Care","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 145,286","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R21AR052815-02","7230196","Roemhildt, Maria L","Load Induced Cartilage Degeneration in the Knee","ORTHOPEDICS AND REHABILITATION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 162,351","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R21DK074173-02","7282654","Zvara, Peter ","Correlation of Urinary Bladder Afferent Activity and Function in Awake Mice","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 184,490","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32AI055402-03","7278162","Budd, Ralph C","Immunology / Infectious Diseases Training Grant","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 74,487","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32AR007568-10","7072221","Beynnon, Bruce D","Training in Orthopaedic Science","ORTHOPEDICS AND REHABILITATION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 97,191","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32DA007242-18","7256280","Higgins, Stephen T","Behavioral Pharmacology of Human Drug Dependence","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 282,012","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32HL007594-22","7257063","Mann, Kenneth G","Transfusion Medicine and Related Areas","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 444,720","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32HL007647-19","7222772","Lewinter, Martin M","Post-Doctoral Cardiovadcular Research Training Program","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 256,511","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32HL007944-07","7216314","Warshaw, David M","Training Program in the Molecular Basis of Cardiovascular Disease","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 381,477","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5T32HL076122-04","7215684","Irvin, Charles G","Multidisciplinary Training in Lung Biology","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 260,762","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5U01CA070013-13","7289804","Geller, Berta M","Vermont Breast Cancer Surveillance System","HEALTH PROMOTION RESEARCH","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 503,203","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5U01HL084899-02","7289791","Lewinter, Martin M","New England, New York and Quebec Regional Clinical Center","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 311,206","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5U10NS044501-05","7168851","Hamill, Robert W","Parkinson Disease Neuroprotection Clinical Trial","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 68,175","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5U13RR022675-03","7268837","Irvin, Charles G","National IDeA Symposium of Biomedical Research Excellence (NISBRE)","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 268,001","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
