"Appendix 3. Summary statistics for daily discharge, dissolved-solids concentration, and dissolved-solids load data at 420 surface-water-quality monitoring sites in the Southwestern United States.",,,,,,,,,,,,,,,,,,,
"[Daily concentrations computed using statistical analysis of periodic water-chemistry samples; minimum and maximum daily concentrations reported here may have large uncertainties where they are higher and lower than highest and lowest concentration observed in sample data. Period for summary statistics varies by site and is listed in appendix 2. n/a, concentration value not available because of no flow conditions; n/c, not computed because site is on a canal or river in which discharge is a diversion or is mostly from irrigation returns flows; AZ, Arizona; CA, California; CO, Colorado; ID, Idaho; NM, New Mexico; NV, Nevada; TX, Texas; UT, Utah; WY, Wyoming. Site locations shown on plate 1]",,,,,,,,,,,,,,,,,,,
Surface-water-quality monitoring site,,"Daily discharge, cubic feet per second",,,,,,"Daily dissolved-solilds concentration, milligrams per liter",,,,,,"Daily dissolved-solids load, tons per day",,,,,
USGS site identifier,Name,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum
10015700,"Sulphur Creek above reservoir below La Chapelle Creek, near Evanston, WY",0,1.11,4.61,20.4,15.0,806,n/a,321,370,367,403,530,0,1.17,4.72,16.3,13.4,539
10015900,"Sulphur Creek below reservoir, near Evanston, WY",0,0,7.01,25.2,35.0,740,n/a,n/a,323,324,354,382,0,0,6.18,20.7,29.8,601
10020100,"Bear River above reservoir, near Woodruff, UT",0,28.3,84.0,241,223,"3,900",n/a,220,268,266,303,778,0,23.0,60.7,127,134,"1,530"
10020300,"Bear River below reservoir, near Woodruff, UT",0,19.0,40.0,242,226,"3,630",n/a,238,302,307,370,631,0,17.7,31.6,147,152,"1,800"
10026500,"Bear River near Randolph, UT",3.61,40.0,85.0,226,229,"3,500",257,340,379,391,421,650,6.23,43.4,88.5,203,222,"2,590"
10032000,"Smiths Fork near Border, WY",34.0,63.0,91.0,195,196,"2,000",164,197,209,205,215,226,20.7,36.5,51.3,99.5,104,884
10038000,"Bear River below Smiths Fork, near Cokeville, WY",31.0,145,233,431,450,"5,400",203,293,319,320,340,422,28.0,124,201,370,387,"4,440"
10039500,"Bear River at Border, WY",25.0,143,250,471,487,"4,840",297,330,344,344,358,390,23.6,137,228,430,454,"4,360"
10041000,Thomas Fork near Wyoming-Idaho state line,4.91,14.0,20.0,56.9,41.0,"1,450",198,481,615,593,713,936,10.2,25.5,34.5,60.4,53.3,774
10068500,"Bear River at Pescadero, ID",31.0,107,545,714,"1,170","4,280",196,316,346,336,375,447,35.8,103,449,598,"1,010","2,890"
10092700,Bear River at Idaho-Utah state line,48.0,532,949,"1,220","1,680","4,830",325,463,519,531,569,947,65.8,778,"1,360","1,670","2,310","6,990"
10093000,"Cub River near Preston, ID",13.0,22.0,33.0,94.4,79.0,776,122,147,157,154,163,171,5.91,9.71,14.0,35.7,31.5,266
10099000,"High Creek near Richmond, UT",3.81,9.51,14.0,33.7,36.0,474,132,142,153,153,162,191,1.48,4.03,6.03,13.4,14.0,179
10104700,"Little Bear River below Davenport Creek, near Avon, UT",9.01,23.0,34.0,58.7,59.0,924,102,176,205,200,228,278,6.12,13.5,19.2,26.9,29.0,254
10106000,"Little Bear River near Paradise, UT",8.81,46.0,59.0,117,113,"1,510",130,226,261,251,281,401,9.53,33.5,42.8,65.3,71.4,531
10109000,"Logan River above State Dam, near Logan, UT",55.0,101,141,232,230,"1,870",142,189,204,201,215,251,35.0,58.2,77.2,114,118,724
10113500,"Blacksmith Fork above Utah Power and Light Company's dam near Hyrum, UT",26.0,74.0,104,143,157,"1,530",144,202,213,211,224,259,18.2,44.2,59.2,76.0,85.6,593
10118000,"Bear River near Collinston, UT",7.21,534,"1,280","1,430","2,000","8,020",301,376,438,515,533,"1,150",22.3,753,"1,470","1,510","2,170","6,510"
10125500,"Malad River at Woodruff, ID",17.0,38.0,73.0,83.6,101,"1,500",490,"1,670","2,020","2,430","3,230","4,600",207,321,394,422,471,"1,980"
10125600,"Malad River near Plymouth, UT",24.0,45.0,81.5,100,118,"1,840",238,"1,960","2,500","2,860","3,560","6,450",350,432,534,563,680,"1,190"
10126000,"Bear River near Corinne, UT",47.0,640,"1,390","1,860","2,670","14,300",254,524,715,913,989,"3,040",386,"1,680","2,630","2,790","3,760","9,790"
10126180,"Sulphur Creek near Corinne, UT",9.01,51.0,62.0,65.5,79.0,268,714,"1,550","1,830","1,720","1,990","3,160",33.0,212,293,300,373,851
10128500,"Weber River near Oakley, UT",20.0,55.0,85.0,216,175,"2,730",57.6,118,144,138,162,218,11.6,24.4,33.3,57.9,56.3,424
10130500,"Weber River near Coalville, UT",7.01,133,183,242,234,"1,860",143,198,215,224,242,365,6.81,76.3,106,130,135,744
10131000,"Chalk Creek at Coalville, UT",2.81,18.0,34.0,82.7,70.0,"1,410",189,316,357,351,389,489,3.67,19.4,31.4,63.8,62.4,835
10134500,"East Canyon Creek near Morgan, UT",3.51,6.91,36.0,69.2,113,698,269,304,319,324,344,383,3.34,6.23,31.7,57.8,94.0,560
10136500,"Weber River at Gateway, UT",38.0,167,392,636,625,"5,750",186,258,277,283,314,391,40.1,142,293,413,435,"2,890"
10137500,"South Fork Ogden River near Huntsville, UT",13.0,41.0,67.0,127,106,"1,490",110,168,186,185,208,252,7.93,22.9,33.9,52.4,49.7,443
10139300,"Wheeler Creek near Huntsville, UT",0,0.91,2.41,11.2,10.0,480,n/a,170,213,207,241,340,0,0.58,1.36,4.65,4.79,163
10141000,"Weber River near Plain City, UT",16.0,93.0,192,539,600,"7,060",159,298,362,359,417,611,24.9,105,193,378,494,"3,030"
10146000,"Salt Creek at Nephi, UT",3.51,8.61,13.0,28.6,25.0,341,220,475,545,544,634,867,7.53,14.9,19.0,32.0,34.5,203
10146400,"Currant Creek near Mona, UT",1.51,9.21,16.0,33.6,38.0,566,442,691,892,929,"1,150","1,630",2.60,17.9,37.6,102,108,"1,850"
10148200,"Tie Fork near Soldier Summit, UT",0.21,2.51,3.61,6.24,5.61,84.0,298,335,357,356,375,421,0.22,2.36,3.36,6.09,5.45,86.8
10150500,"Spanish Fork at Castilla, UT",30.0,95.0,166,279,401,"3,700",230,319,393,399,471,633,37.7,116,192,259,340,"2,800"
10152000,"Spanish Fork near Lake Shore, UT",0.21,29.0,96.0,162,152,"3,190",300,443,484,480,519,690,0.39,37.2,126,180,191,"2,890"
10154200,"Provo River near Woodland, UT",28.0,56.0,81.0,211,183,"2,530",35.6,82.5,114,107,133,180,11.4,20.1,25.4,39.8,40.5,255
10155000,"Provo River near Hailstone, UT",19.0,73.0,109,260,212,"2,880",55.0,106,129,126,147,189,7.15,27.8,40.8,68.2,64.5,544
10159500,"Provo River below Deer Creek Dam, UT",46.0,129,296,360,470,"2,240",182,217,240,250,277,365,37.8,96.7,198,222,272,"1,150"
10163000,"Provo River at Provo, UT",0.95,43.3,128,231,317,"2,220",202,240,262,263,282,350,0.82,31.9,91.2,152,218,"1,210"
10164500,"American Fork above upper powerplant, near American Fork, UT",2.91,18.0,27.0,64.1,62.0,"1,000",135,224,257,249,281,388,3.05,13.6,19.1,34.9,37.2,364
10171000,"Jordan River at 1700 South at Salt Lake City, UT",2.31,118,141,145,171,327,718,856,925,916,"1,000","1,110",5.33,295,350,354,412,888
10172200,"Red Butte Creek at Fort Douglas, near Salt Lake City, UT",0.39,1.51,2.41,4.29,4.01,95.0,244,354,391,384,416,487,0.47,1.67,2.53,3.92,3.90,62.6
10172700,"Vernon Creek near Vernon, UT",1.11,2.51,3.81,5.13,6.21,70.0,205,242,250,259,276,311,0.73,1.64,2.55,3.72,4.85,53.9
10172800,"South Willow Creek near Grantsville, UT",1.51,2.61,4.01,6.74,7.31,84.0,96.5,149,168,166,183,211,0.63,1.35,1.84,2.73,3.10,26.3
10172805,"North Willow Creek near Grantsville, UT",0.91,2.01,3.01,5.78,5.41,145,98.7,146,162,159,174,193,0.42,0.94,1.31,2.22,2.30,41.4
10172870,"Trout Creek near Callao, UT",0.71,1.71,2.21,5.98,4.61,156,36.8,40.8,45.0,48.1,48.7,94.8,0.08,0.21,0.27,0.87,0.65,39.9
10172952,"Dunn Creek near Park Valley, UT",0.51,1.51,2.21,6.09,5.91,150,65.5,111,128,125,140,165,0.19,0.56,0.82,1.71,1.75,30.4
10173450,"Mammoth Creek above West Hatch Ditch, near Hatch, UT",1.11,11.0,18.0,47.3,36.0,720,95.7,125,133,131,139,174,0.52,3.98,6.53,14.5,12.1,187
10174500,"Sevier River at Hatch, UT",21.0,52.0,72.0,114,104,"1,340",144,196,206,202,212,239,13.5,29.2,40.2,56.9,55.7,519
10176300,"Panguitch Creek near Panguitch, UT",0,3.71,6.16,24.0,41.0,157,n/a,123,131,132,139,233,0,1.35,2.28,8.00,13.7,46.3
10180000,"Sevier River near Circleville, UT",25.0,80.0,118,145,161,"1,880",176,253,268,269,285,340,22.3,60.6,84.9,97.4,111,891
10183500,"Sevier River near Kingston, UT",5.71,29.0,115,124,172,"1,560",225,297,311,320,345,407,6.04,26.6,95.8,97.8,139,949
10187300,"Otter Creek near Koosharem, UT",5.41,8.51,9.61,12.0,12.0,67.0,46.7,68.3,73.1,72.0,77.3,88.5,1.22,1.73,1.90,2.21,2.27,8.77
10191500,"Sevier River below Piute Dam, near Marysvale, UT",0.32,21.0,161,227,374,"2,470",269,285,301,301,314,348,0.25,17.5,129,177,292,"1,800"
10208500,"Oak Creek near Fairview, UT",1.11,2.11,3.01,12.8,6.34,410,190,240,266,261,286,362,0.61,1.55,2.25,8.86,4.41,353
10219000,"Sevier River near Juab, UT",0,3.91,159,393,596,"4,920",n/a,"1,030","1,150","1,120","1,250","1,450",0,12.6,439,"1,060","1,720","12,400"
10219200,"Chicken Creek near Levan, UT",0,1.41,3.01,9.52,6.81,380,n/a,433,497,503,561,750,0,1.98,4.01,10.7,8.17,388
10224000,"Sevier River near Lynndyl, UT",4.51,45.0,119,350,470,"5,020",703,"1,040","1,230","1,290","1,470","2,380",25.7,182,385,928,"1,340","9,690"
10237000,"Beaver River at Adamsville, UT",0,5.71,30.0,47.4,48.0,"1,700",n/a,256,296,371,428,"1,410",0,6.36,23.8,29.6,33.9,676
10241470,"Center Creek above Parowan Creek, near Parowan, UT",1.51,4.11,4.91,6.04,6.44,42.0,112,175,191,192,213,283,1.13,2.21,2.63,2.95,3.25,13.3
10242000,"Coal Creek near Cedar City, UT",2.11,10.0,14.0,34.4,26.0,"1,080",157,303,350,340,384,467,2.62,10.4,13.9,24.7,21.9,456
10244950,"Steptoe Creek near Ely, NV",1.61,3.41,4.71,6.91,7.51,73.0,162,178,185,185,192,218,0.80,1.69,2.35,3.54,3.80,43.0
10249300,"South Twin River near Round Mountain, NV",0.36,1.91,3.01,7.03,6.31,338,64.3,81.0,87.6,86.5,92.8,100,0.09,0.48,0.73,1.48,1.42,59.5
10249900,"Chiatovich Creek near Dyer, NV",4.11,6.71,7.91,8.85,9.51,27.0,40.1,45.7,47.8,47.4,49.3,51.2,0.57,0.87,1.02,1.12,1.22,3.20
10254670,"Alamo River at drop 3, near Calipatria, CA",259,606,694,710,809,"4,670","1,300","2,230","2,390","2,440","2,600","3,560","2,360","4,050","4,520","4,560","5,010","16,300"
10254970,"New River at International Boundary, at Calexico, CA",130,229,292,293,344,735,"2,540","3,540","3,890","3,890","4,220","5,220","1,630","2,550","2,990","2,990","3,370","5,580"
10256500,"Snow Creek near White Water, CA",0,0.87,3.41,8.08,7.01,909,n/a,70.1,80.6,86.9,94.6,215,0,0.23,0.72,1.31,1.33,86.6
10261500,"Mojave River at Lower Narrows, near Victorville, CA",3.41,21.0,30.0,100,43.0,"10,000",81.7,257,278,284,322,480,4.42,17.3,24.3,45.7,31.5,"2,270"
10265150,"Hot Creek at Flume, near Mammoth Lakes, CA",29.0,41.0,51.0,60.9,66.0,309,103,288,332,325,376,468,36.0,41.9,45.3,47.5,51.2,91.3
10277400,"Owens River below Tinemaha Reservoir, near Big Pine, CA",5.01,433,603,553,695,"1,050",148,165,171,179,188,238,2.22,215,282,260,314,462
10293000,"East Walker River near Bridgeport, CA",2.31,19.0,129,188,296,"1,280",73.6,106,142,157,191,366,1.73,10.9,47.0,61.4,91.2,328
10296500,"West Walker River near Coleville, CA",14.0,71.0,135,331,344,"2,950",21.2,48.3,71.9,70.7,89.6,148,5.59,16.3,26.6,37.5,45.9,175
10297500,"West Walker River at Hoye Bridge, near Wellington, CA",3.61,27.0,113,250,352,"2,510",48.1,83.8,114,131,178,324,3.11,12.9,34.3,55.6,80.2,346
10301500,"Walker River near Wabuska, NV",0.71,30.0,60.0,177,139,"2,740",81.1,210,262,268,315,654,1.17,20.1,41.2,97.0,106,940
10309000,"East Fork Carson River near Gardnerville, NV",28.0,116,248,497,593,"6,390",31.9,71.1,101,102,131,198,12.3,37.0,74.3,91.3,120,613
10310000,"West Fork Carson River at Woodfords, CA",5.31,24.0,54.0,118,126,"1,720",30.2,48.1,56.5,55.7,64.1,78.3,1.12,4.24,8.33,14.1,16.5,140
10311000,"Carson River near Carson City, NV",1.61,80.0,272,533,637,"6,830",48.6,128,177,219,253,915,3.90,55.8,131,161,224,"1,160"
10311100,"Kings Canyon Creek near Carson City, NV",0.17,0.89,1.51,2.11,2.71,18.0,46.7,53.3,69.4,74.1,90.7,133,0.03,0.17,0.28,0.41,0.49,5.08
10311200,"Ash Canyon Creek near Carson City, NV",0.78,1.91,2.61,3.93,4.91,25.0,40.7,54.2,61.4,60.0,65.7,75.8,0.14,0.34,0.45,0.59,0.76,2.75
10312000,"Carson River near Fort Churchill, NV",0,22.0,150,375,419,"13,400",n/a,160,240,795,427,"8,160",0,25.7,96.2,128,178,"1,820"
10312150,"Carson River below Lahontan Reservoir, near Fallon, NV",0.25,4.41,464,489,816,"3,160",131,157,179,206,259,339,0.17,2.15,230,247,407,"1,270"
10321000,"Humboldt River near Carlin, NV",0.74,43.0,125,438,445,"8,090",201,262,297,293,324,380,0.76,36.4,101,294,326,"4,750"
10322500,"Humboldt River at Palisade, NV",10.0,78.0,194,680,766,"7,820",204,262,304,300,333,409,11.0,70.0,160,446,545,"4,300"
10324500,"Rock Creek near Battle Mountain, NV",0,2.31,8.81,77.8,42.0,"2,210",n/a,187,222,228,255,455,0,1.55,5.06,33.0,21.3,825
10335000,"Humboldt River near Rye Patch, NV",0.16,22.0,227,466,450,"7,840",415,482,541,554,617,739,0.24,32.4,325,639,626,"10,000"
10336580,"Upper Truckee River at South Upper Truckee Road, near Meyers, CA",1.01,3.51,8.01,36.5,35.0,"1,130",8.72,17.8,24.6,24.5,30.8,41.2,0.10,0.28,0.53,1.48,1.67,26.6
10336610,"Upper Truckee River at South Lake Tahoe, CA",0.02,14.0,37.0,102,118,"3,150",15.1,33.7,47.3,48.9,60.0,266,0.01,2.13,4.88,8.05,11.3,143
10336645,"General Creek near Meeks Bay, CA",0.30,1.41,3.51,18.2,18.0,600,7.11,17.6,30.0,30.0,41.5,60.4,0.04,0.15,0.30,0.69,0.87,15.3
10336676,"Ward Creek at Highway 89, near Tahoe Pines, CA",0,2.01,7.01,28.6,31.0,"1,390",n/a,30.6,39.3,40.9,48.3,107,0,0.27,0.73,2.06,2.58,69.4
10336698,"Third Creek near Crystal Bay, NV",0.86,2.51,3.81,7.29,7.11,85.0,20.0,42.0,51.7,51.5,58.7,93.9,0.10,0.36,0.54,0.87,0.99,13.3
10336700,"Incline Creek near Crystal Bay, NV",0.19,2.71,4.41,7.25,7.51,112,28.8,50.6,56.6,58.5,66.0,100,0.03,0.42,0.72,1.06,1.17,19.1
10336775,"Trout Creek at Pioneer Trail, near South Lake Tahoe, CA",2.01,7.71,13.0,23.7,25.0,457,15.3,29.1,35.4,34.3,40.4,54.4,0.29,0.80,1.24,1.74,2.00,21.8
10343500,"Sagehen Creek near Truckee, CA",1.21,2.41,4.01,11.2,9.01,800,20.0,63.9,84.7,80.2,97.7,114,0.35,0.63,0.92,1.56,1.57,43.1
10346000,"Truckee River at Farad, CA",37.0,413,571,987,"1,100","6,360",37.1,55.7,62.4,63.9,71.7,121,12.1,79.5,101,145,167,690
10351700,"Truckee River near Nixon, NV",3.31,37.0,89.5,539,544,"14,500",50.1,159,325,324,472,"1,090",9.72,46.2,80.8,176,241,"1,960"
10352500,"McDermitt Creek near McDermitt, NV",0,5.91,10.0,42.2,44.0,"1,200",n/a,174,195,206,223,546,0,3.29,5.71,18.6,20.9,364
11042000,"San Luis Rey River at Oceanside, CA",0.52,7.61,22.0,91.7,61.0,"9,080",347,"1,110","1,340","1,340","1,550","2,800",3.92,31.2,81.0,191,194,"8,490"
11066460,"Santa Ana River at Metropolitan Water District Crossing, CA",15.0,39.0,74.0,141,101,"11,500",105,522,572,574,667,894,35.1,72.8,114,143,142,"3,360"
11074000,"Santa Ana River below Prado Dam, CA",2.41,142,207,308,299,"6,440",323,546,580,576,625,791,3.35,226,317,463,461,"9,440"
11103000,"Los Angeles River at Long Beach, CA",5.31,28.0,53.0,423,82.3,"52,000",56.0,587,680,647,774,"1,420",20.3,52.1,101,217,142,"9,560"
11108500,"Santa Clara River at Los Angeles-Ventura County Line, CA",1.91,19.0,28.0,64.5,49.0,"7,900",374,899,994,"1,040","1,190","1,750",9.02,56.2,76.7,136,126,"7,970"
