File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
...Mean Income,"$42,110 ","$18,200 ","$28,922 ","$36,327 ","$40,247 ","$68,614 ","$57,681 ","$69,759 ","$118,809 ","$109,729"
....Standard Error,$428 ,$363 ,$379 ,$780 ,$861 ,"$1,156 ","$1,331 ","$1,863 ","$6,957 ","$6,779 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"21,698","1,889","7,071","3,827","1,918","6,991","3,904","2,190",403,493
...Median Income,"$30,777 ","$14,206 ","$23,739 ","$29,003 ","$32,765 ","$51,419 ","$44,947 ","$54,941 ","$83,487 ","$81,699 "
....Standard Error,$216 ,$352 ,$378 ,$776 ,"$1,026 ",$398 ,$943 ,"$1,166 ","$5,603 ","$3,508 "
...Mean Income,"$43,423 ","$18,863 ","$29,227 ","$36,535 ","$40,461 ","$69,004 ","$57,877 ","$70,283 ","$120,565 ","$109,252"
....Standard Error,$458 ,$458 ,$399 ,$827 ,$901 ,"$1,180 ","$1,373 ","$1,905 ","$7,141 ","$6,627 "
.Black Alone,,,,,,,,,,
..With Income,"2,627",566,972,430,237,420,249,125,18,27
...Median Income,"$21,575 ","$12,467 ","$18,690 ","$25,957 ","$25,709 ","$45,024 ","$36,875 ","$59,388 ",(B),(B)
....Standard Error,$495 ,$634 ,$986 ,"$1,477 ","$1,836 ","$2,270 ","$2,843 ","$3,488 ",(B),(B)
...Mean Income,"$30,136 ","$17,580 ","$24,246 ","$34,386 ","$31,309 ","$55,679 ","$44,539 ","$60,850 ",(B),(B)
....Standard Error,"$1,161 ","$1,997 ",$821 ,"$4,624 ","$1,911 ","$3,862 ","$2,898 ","$3,778 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,955,124,218,87,69,456,297,77,35,46
...Median Income,"$29,647 ","$13,261 ","$21,353 ","$26,070 ",(B),"$40,803 ","$33,729 ","$70,170 ",(B),(B)
....Standard Error,"$1,744 ","$1,597 ","$2,900 ","$3,637 ",(B),"$2,932 ","$2,235 ","$7,527 ",(B),(B)
...Mean Income,"$42,701 ","$18,207 ","$27,995 ","$32,338 ",(B),"$58,473 ","$40,211 ","$64,821 ",(B),(B)
....Standard Error,"$2,036 ","$2,026 ","$2,024 ","$3,047 ",(B),"$3,787 ","$2,463 ","$7,459 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"2,038",842,529,312,119,234,147,60,14,12
...Median Income,"$19,614 ","$13,674 ","$21,455 ","$26,903 ","$35,651 ","$49,286 ","$50,507 ",(B),(B),(B)
....Standard Error,$667 ,$668 ,"$1,303 ","$1,647 ","$2,313 ","$2,710 ","$4,859 ",(B),(B),(B)
...Mean Income,"$28,027 ","$17,018 ","$24,577 ","$39,258 ","$35,687 ","$56,433 ","$52,200 ",(B),(B),(B)
....Standard Error,"$1,275 ",$623 ,$982 ,"$6,311 ","$2,564 ","$5,598 ","$3,663 ",(B),(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"14,014","1,211","4,110","2,461","1,346","4,885","2,666","1,443",334,441
...Median Income,"$42,406 ","$24,664 ","$34,491 ","$40,558 ","$43,596 ","$63,283 ","$56,313 ","$66,449 ",$100000+,"$95,581 "
....Standard Error,$300 ,$663 ,$631 ,$465 ,"$1,479 ",$941 ,$889 ,"$1,614 ","$46,554 ","$3,051 "
...Mean Income,"$57,678 ","$28,728 ","$40,220 ","$47,809 ","$50,438 ","$86,508 ","$72,888 ","$85,161 ","$153,472 ","$122,534 "
....Standard Error,$647 ,"$1,005 ",$571 ,$759 ,"$1,063 ","$1,606 ","$1,854 ","$2,608 ","$8,894 ","$7,497 "
.White Alone,,,,,,,,,,
..With Income,"11,959",953,"3,477","2,132","1,133","4,261","2,300","1,294",290,376
...Median Income,"$44,416 ","$25,010 ","$35,378 ","$41,255 ","$46,060 ","$64,794 ","$59,813 ","$66,066 ",$100000+,"$97,137 "
....Standard Error,$526 ,$714 ,$355 ,$496 ,$939 ,"$1,011 ","$1,550 ","$1,795 ","$49,526 ","$8,514 "
...Mean Income,"$59,553 ","$28,589 ","$41,171 ","$49,060 ","$52,227 ","$88,680 ","$75,800 ","$86,546 ","$149,530 ","$127,735 "
....Standard Error,$723 ,$699 ,$644 ,$843 ,"$1,205 ","$1,767 ","$2,079 ","$2,884 ","$9,008 ","$8,604 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"10,965",593,"3,212","1,971","1,059","4,129","2,210","1,267",281,370
...Median Income,"$45,943 ","$27,305 ","$35,753 ","$41,402 ","$46,644 ","$64,979 ","$58,562 ","$66,263 ",$100000+,"$97,007 "
....Standard Error,$346 ,$777 ,$362 ,$558 ,"$1,003 ","$1,024 ","$1,661 ","$1,813 ","$50,032 ","$9,240 "
...Mean Income,"$61,506 ","$31,914 ","$41,891 ","$49,350 ","$52,711 ","$89,072 ","$76,124 ","$86,983 ","$151,384 ","$126,191 "
....Standard Error,$774 ,"$1,001 ",$688 ,$892 ,"$1,272 ","$1,803 ","$2,157 ","$2,940 ","$9,234 ","$8,367 "
.Black Alone,,,,,,,,,,
..With Income,"1,226",175,444,208,143,254,146,74,15,18
...Median Income,"$32,051 ","$23,700 ","$28,476 ","$32,577 ","$35,272 ","$52,372 ","$41,495 ","$61,734 ",(B),(B)
....Standard Error,$694 ,"$1,386 ","$1,787 ","$2,033 ","$2,463 ","$2,289 ","$1,751 ","$3,510 ",(B),(B)
...Mean Income,"$42,419 ","$30,944 ","$34,588 ","$39,527 ","$40,951 ","$67,174 ","$51,524 ","$72,352 ",(B),(B)
....Standard Error,"$1,717 ","$6,157 ","$1,376 ","$1,956 ","$2,583 ","$5,947 ","$4,088 ","$4,922 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,593,40,138,60,45,307,189,54,23,39
...Median Income,"$40,000 ",(B),"$30,080 ",(B),(B),"$56,965 ","$42,035 ",(B),(B),(B)
....Standard Error,"$2,129 ",(B),"$2,468 ",(B),(B),"$3,966 ","$4,148 ",(B),(B),(B)
...Mean Income,"$55,210 ",(B),"$35,775 ",(B),(B),"$73,599 ","$52,335 ",(B),(B),(B)
....Standard Error,"$2,764 ",(B),"$2,610 ",(B),(B),"$4,788 ","$3,179 ",(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"1,064",384,289,176,74,140,94,28,9,7
...Median Income,"$30,808 ","$20,766 ","$30,529 ","$40,341 ","$41,237 ","$62,153 ","$62,167 ",(B),(B),(B)
....Standard Error,$621 ,$731 ,"$1,243 ","$2,521 ",$975 ,"$2,706 ","$2,282 ",(B),(B),(B)
...Mean Income,"$38,007 ","$23,203 ","$32,942 ","$45,112 ","$45,255 ","$76,303 ","$67,148 ",(B),(B),(B)
....Standard Error,"$1,432 ",$780 ,"$1,275 ","$2,357 ","$3,106 ","$8,536 ","$4,162 ",(B),(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
65 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"34,184","8,679","12,469","4,721","1,784","6,529","3,969","1,667",486,404
...Median Income,"$15,200 ","$10,934 ","$14,495 ","$18,041 ","$17,419 ","$28,833 ","$25,240 ","$31,816 ","$35,103 ","$49,925 "
....Standard Error,$98 ,$92 ,$109 ,$292 ,$420 ,$476 ,$545 ,$972 ,"$1,517 ","$2,835 "
...Mean Income,"$23,966 ","$14,089 ","$19,626 ","$27,146 ","$25,317 ","$42,715 ","$35,590 ","$45,582 ","$68,668 ","$69,563 "
....Standard Error,$222 ,$250 ,$251 ,$764 ,$826 ,$747 ,$654 ,"$1,689 ","$4,683 ","$4,193 "
.White Alone,,,,,,,,,,
..With Income,"30,001","6,932","11,320","4,282","1,583","5,882","3,580","1,498",433,369
...Median Income,"$15,762 ","$11,340 ","$14,733 ","$18,339 ","$17,648 ","$29,027 ","$25,370 ","$32,616 ","$34,872 ","$50,970 "
....Standard Error,$102 ,$101 ,$115 ,$311 ,$470 ,$503 ,$581 ,"$1,162 ","$1,708 ","$3,180 "
...Mean Income,"$24,548 ","$14,261 ","$19,890 ","$27,505 ","$25,904 ","$43,122 ","$36,021 ","$46,214 ","$69,131 ","$68,898 "
....Standard Error,$238 ,$159 ,$271 ,$810 ,$911 ,$804 ,$701 ,"$1,839 ","$5,137 ","$4,382 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"28,132","5,837","10,923","4,149","1,512","5,709","3,486","1,456",413,354
...Median Income,"$16,177 ","$11,755 ","$14,821 ","$18,480 ","$17,750 ","$29,238 ","$25,498 ","$32,838 ","$34,806 ","$52,425 "
....Standard Error,$104 ,$107 ,$116 ,$315 ,$477 ,$518 ,$581 ,"$1,176 ","$1,725 ","$3,911 "
...Mean Income,"$25,131 ","$14,785 ","$19,974 ","$27,740 ","$26,219 ","$43,387 ","$36,131 ","$46,527 ","$70,164 ","$70,642 "
....Standard Error,$251 ,$180 ,$279 ,$834 ,$948 ,$822 ,$708 ,"$1,886 ","$5,336 ","$4,529 "
.Black Alone,,,,,,,,,,
..With Income,"2,784","1,279",783,279,129,312,181,95,27,7
...Median Income,"$11,562 ","$9,551 ","$12,258 ","$14,553 ","$17,143 ","$27,698 ","$25,910 ","$27,102 ",(B),(B)
....Standard Error,$206 ,$191 ,$419 ,"$1,355 ","$1,334 ","$1,866 ","$2,967 ","$2,702 ",(B),(B)
...Mean Income,"$18,434 ","$13,987 ","$16,264 ","$21,885 ","$21,920 ","$37,543 ","$31,649 ","$41,434 ",(B),(B)
....Standard Error,$817 ,"$1,551 ",$577 ,"$1,759 ","$2,116 ","$2,270 ","$2,219 ","$4,977 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,958,309,243,84,47,274,173,60,18,22
...Median Income,"$12,021 ","$8,430 ","$12,786 ","$13,734 ",(B),"$24,626 ","$19,801 ",(B),(B),(B)
....Standard Error,$504 ,$453 ,$638 ,"$2,012 ",(B),"$3,911 ","$3,637 ",(B),(B),(B)
...Mean Income,"$22,670 ","$10,949 ","$19,364 ","$26,013 ",(B),"$39,085 ","$31,373 ",(B),(B),(B)
....Standard Error,"$1,238 ",$733 ,"$1,793 ","$4,757 ",(B),"$3,300 ","$3,063 ",(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"1,980","1,154",424,142,74,183,100,46,21,15
...Median Income,"$10,407 ","$9,225 ","$11,537 ","$14,135 ","$13,241 ","$22,255 ","$18,779 ",(B),(B),(B)
....Standard Error,$259 ,$189 ,$550 ,"$1,314 ","$3,456 ","$3,030 ","$3,463 ",(B),(B),(B)
...Mean Income,"$15,910 ","$11,540 ","$17,405 ","$20,193 ","$18,884 ","$35,386 ","$31,100 ",(B),(B),(B)
....Standard Error,$498 ,$312 ,"$1,037 ","$1,597 ","$1,949 ","$3,609 ","$4,967 ",(B),(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"2,511",370,815,404,155,765,391,194,101,78
...Median Income,"$44,706 ","$30,309 ","$35,486 ","$47,267 ","$44,497 ","$72,883 ","$64,126 ","$73,040 ",$100000+,"$88,222 "
....Standard Error,$938 ,"$1,773 ","$1,298 ","$1,994 ","$2,905 ","$1,383 ","$4,326 ","$4,064 ","$64,519 ","$6,681 "
...Mean Income,"$66,086 ","$40,901 ","$48,019 ","$65,926 ","$60,623 ","$98,714 ","$80,323 ","$89,756 ","$168,299 ","$122,229 "
....Standard Error,"$2,080 ","$4,941 ","$2,920 ","$5,486 ","$6,611 ","$4,261 ","$3,893 ","$9,108 ","$16,184 ","$16,263 "
.White Alone,,,,,,,,,,
..With Income,"2,141",278,719,368,132,642,317,169,83,72
...Median Income,"$46,208 ","$32,540 ","$36,537 ","$48,371 ","$46,525 ","$74,794 ","$70,495 ","$73,444 ",$100000+,(B)
....Standard Error,$829 ,"$2,563 ","$1,339 ","$2,027 ","$4,426 ","$1,627 ","$2,777 ","$3,796 ","$66,941 ",(B)
...Mean Income,"$68,165 ","$35,711 ","$49,874 ","$66,489 ","$64,212 ","$104,468 ","$85,898 ","$92,416 ","$178,681 ",(B)
....Standard Error,"$2,233 ","$1,393 ","$3,289 ","$5,602 ","$7,661 ","$4,946 ","$4,617 ","$10,296 ","$19,015 ",(B)
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"1,969",205,666,353,123,619,301,166,81,70
...Median Income,"$47,447 ","$36,306 ","$36,984 ","$47,975 ","$50,446 ","$74,718 ","$70,427 ","$73,455 ",$100000+,(B)
....Standard Error,"$1,039 ","$1,191 ","$1,286 ","$2,055 ","$4,856 ","$1,706 ","$2,973 ","$3,779 ","$66,499 ",(B)
...Mean Income,"$70,539 ","$38,537 ","$50,478 ","$67,233 ","$67,161 ","$105,295 ","$85,868 ","$93,034 ","$182,339 ",(B)
....Standard Error,"$2,404 ","$1,690 ","$3,532 ","$5,826 ","$8,085 ","$5,097 ","$4,734 ","$10,458 ","$19,504 ",(B)
.Black Alone,,,,,,,,,,
..With Income,242,64,73,26,19,59,37,10,9,1
...Median Income,"$34,079 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$1,714 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
...Mean Income,"$51,590 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$8,099 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,83,18,11,1,,51,29,10,7,3
...Median Income,"$44,919 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$4,517 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
...Mean Income,"$60,345 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$7,150 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,190,82,54,15,8,30,17,5,4,2
...Median Income,"$32,187 ","$22,259 ",(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$1,776 ","$1,558 ",(B),(B),(B),(B),(B),(B),(B),(B)
...Mean Income,"$41,194 ","$26,836 ",(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$3,108 ","$1,989 ",(B),(B),(B),(B),(B),(B),(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,
