 
"Organization Name - Effective 18-JAN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL064806-08","7073445","Rusch, Nancy J","Renovascular Calcium Channels in Hypertension","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 277,326","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL071558-03","7027689","Das, Kumuda C","DNA damage signaling in oxygen toxicity in lung cells","","PATHOLOGY","SCHOOLS OF MEDICINE","$ 277,326","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL083013-02","7102805","Rusch, Nancy J","Calcium Channels in Neonatal Pulmonary Hypertension","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 395,506","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NR004908-05","7052004","Mcsweeney, Jean C","Predicting CHD Events in Black and White Women","","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 449,969","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NR007771-05","7067628","Richards, Kathy C","Effect of Activities and Exercise on Sleep in Dementia","","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 461,307","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NR008937-02","7059388","Coleman, Elizabeth A","Exercise to Relieve Cancer-Related Insomnia and Fatigue","","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 393,678","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS020246-21","7092563","Garciarill, Edgar E","Central Modulation of Rhythms","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 270,881","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS036277-07","7009549","Lowery, Curtis L","Fetal Magnetoencephalography and Evoked Potentials","","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 933,929","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS036728-06","6982767","Dienel, Gerald A","Functional Metabolism in Working Brain","","NEUROLOGY","SCHOOLS OF MEDICINE","$ 303,325","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS037821-08","7025004","Wight, Patricia A","Activation of Plp gene expression in oligodendrocytes","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 261,979","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS040730-07","6987169","Kielian, Tammy L","The Pathogenesis of Brain Abscess","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 296,392","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS042860-04","6984802","Drew, Paul D","PPAR-gamma Immune Regulation and Multiple Sclerosis","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 299,512","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS046439-03","6994383","Barger, Steven W","Sp1, kappa-B enhancers and transcriptions in neurons","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 256,527","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS047499-03","7052796","Zhang, Xuming ","Demyelinating Disease-Viral and Cellular Function","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 191,257","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03CA114729-02","7128159","Basnakian, Alexei G","Endonuclease dificiency in breast cancer progression","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 61,520","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03CA115794-02","7081379","Vanbiervliet, Alan G","Evaluation of Clear Speech to Enhance Multimedia eHealth","","PHYSICAL MEDICINE & REHAB","SCHOOLS OF MEDICINE","$ 69,332","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03DC006356-04","7049423","Hayar, Abdallah M","Synchronous Bursting among Juxtaglomerular Neurons","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 69,332","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03HD048868-02","7007243","Whitesidemansell, Leanne ","Cross Cultural Parenting","","PEDIATRICS","SCHOOLS OF MEDICINE","$ 61,520","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03LM008853-02","7124306","Nagarajan, Radhakrishnan ","CloNET: Modeling Genetic Networks from Clonal Analysis","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 69,332","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03TW006919-02","7119614","Bellido, Teresita M","Bisphosphonate binding to connexin43-expressing cells","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 31,851","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R21CA106936-02","7140108","Goldsmith, Geoffrey A","Multi-level Approaches to Improve Colon Cancer Screening","","FAMILY MEDICINE","SCHOOLS OF MEDICINE","$ 132,267","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R21DA016609-04","7029639","Stanger, Catherine ","Preventing Problems Among Children of Substance Abusers","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 123,039","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R37DA006526-17","7071159","Bickel, Warren K","BEHAVIORAL ECONOMICS OF DRUG CHOICE","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 311,992","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R37DK036823-23","7012339","Mock, Donald M","Aspects of Biotin Nutrition","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 312,400","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5T32MH020024-08","7094132","Smith, Grichard ","Training Program in Mental Health Services Research","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 3,681","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5U01AI061204-03","7094173","Zhang, Xuming ","Developing recombinant coronavirus vaccines for SARS","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 792,026","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5U01CA114607-02","7065279","Henrytillman, Ronda S","Arkansas Cancer Community Network (ARCCN)","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 788,499","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5U01MH070022-02","7125954","Sullivan, Jan Greer","CALM: Improving Primary Care Anxiety Outcomes","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 599,562","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01AR049038-05","7112898","Wolfe, Robert R","Amino Acids and Muscle Protein Synthesis","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 408,289","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01DK034817-21","7276503","Wolfe, Robert R","Substrate Cycling in Energy Metabolism","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 404,274","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01EY016205-02","7009197","Bora, Nalini S","Idiopathic Anterior Uveitis and Type I Collagen","","OPHTHALMOLOGY","SCHOOLS OF MEDICINE","$ 346,658","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01HL073097-03","7215036","Palade, Philip T","Cav1.2 Transcript Regulation in Heart and Smooth Muscle","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 281,028","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"VEGRANDIS, LLC","5R42RR018443-03","7125149","Aguilar, Zoraida P","Magnetohydrodynamic-based Laboratories on a Chip","","","","$ 618,601","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"WHITE RIVER BIOSCIENCE, INC.","1R41ES014728-01A1","7157046","Gawley, Robert E","Sensor for Paralytic Shellfish Poisons","","","","$ 99,999","FAYETTEVILLE","ARKANSAS","72702","","","","None","N","","  "
