"Loan Characteristic","Period","All sizes","Minimal","Low","Moderate","Acceptable","Special","Not rated","Not reported"
"Other current operating expenses","2004Q4",34,53.71,21.07,35.08,43.08,45.67,14.14,21.69
"Other current operating expenses","2005Q1",55.58,52.16,43.43,60.38,57.48,70.51,6.69,42.05
"Other current operating expenses","2005Q2",32,47.88,39.43,35.73,24.65,56.3,14.71,25.99
"Other current operating expenses","2005Q3",36.31,39.4,56.22,34.38,36.34,69.86,0.88,31.02
"Other current operating expenses","2005Q4",40.25,47.02,39.56,39.69,42.4,65.74,10.18,26.78
"Other current operating expenses","2006Q1",54.06,25.87,70.43,53.3,44.57,85.51,61.11,22.99
"Other current operating expenses","2006Q2",35.72,50.53,52.22,31.76,30.99,78.38,40.31,20.37
"Other current operating expenses","2006Q3",32.72,14.53,45.68,43.09,27.77,68.53,0.78,10.67
"Other current operating expenses","2006Q4",37.5,51.11,47.37,39.32,32.87,35.65,15.35,25.67
"Other current operating expenses","2007Q1",44.21,80.88,47.76,52.05,23.41,73.47,0.07,43.77
"Farm machinery and equipment","1999Q4",15.11,26.46,4.02,24.12,1.37,2.68,2.47,6.61
"Farm machinery and equipment","2000Q1",15.11,26.46,4.02,24.12,1.37,2.68,2.47,6.61
"Farm machinery and equipment","2000Q2",3.82,2.86,4.14,4.77,1.61,3.73,6.79,.
"Farm machinery and equipment","2000Q3",4.55,11.97,1.15,7.51,1.62,1.86,0.85,.
"Farm machinery and equipment","2000Q4",3.82,2.86,4.14,4.77,1.61,3.73,6.79,.
"Farm machinery and equipment","2001Q1",4.9,1.25,8.35,6.1,4.2,5.23,0.76,0.53
"Farm machinery and equipment","2001Q2",11.79,2.69,8.84,8.03,9.14,39.2,14.77,3.15
"Farm machinery and equipment","2001Q3",5.5,24.18,5.44,8.15,1.94,1.32,5.79,0.87
"Farm machinery and equipment","2001Q4",2.32,3.24,4.47,2.5,1.34,1.26,1.08,1.92
"Farm machinery and equipment","2002Q1",4.19,5.75,0.71,5.17,1.13,12.38,1.96,11.82
"Farm machinery and equipment","2002Q2",2.81,2.72,3.67,4.08,0.42,4.06,1.02,8.64
"Farm machinery and equipment","2002Q3",7.73,11.22,42.9,8.28,3.85,0.23,3.92,.
"Farm machinery and equipment","2002Q4",1.41,2.78,2.32,1.83,0.94,0.05,0.84,.
"Farm machinery and equipment","2003Q1",6.08,0.48,3.96,7.24,7.59,0.48,0.69,7.97
"Farm machinery and equipment","2003Q2",10.11,0.55,0.84,8.46,13.26,34.69,2.62,9.44
"Farm machinery and equipment","2003Q3",7.58,4.99,0.75,5.64,9.56,18.43,0.53,0.84
"Farm machinery and equipment","2003Q4",4.92,0.44,3.6,5.77,5.64,0.19,6.53,3.1
"Farm machinery and equipment","2004Q1",7.11,.,4.72,16.51,2.82,3.48,3.39,0.86
"Farm machinery and equipment","2004Q2",5.94,3.91,1.87,9.86,7.55,2.41,4.43,0.24
"Farm machinery and equipment","2004Q3",9.23,.,2.2,21.56,4.55,7.61,0.43,0.22
"Farm machinery and equipment","2004Q4",11.75,1.81,0.52,15.01,15.99,22.51,.,4.22
"Farm machinery and equipment","2005Q1",3.54,1.89,2.87,3.76,1.6,5.18,86.43,14.43
"Farm machinery and equipment","2005Q2",14.63,20.72,2.64,17.57,14.28,7.38,0.65,11.9
"Farm machinery and equipment","2005Q3",17.14,.,2.11,17.31,23.66,2.56,2.07,1.78
"Farm machinery and equipment","2005Q4",6.31,0.85,1.04,10.8,1.58,3.32,5.31,1.2
"Farm machinery and equipment","2006Q1",6.63,1.32,1.09,10.88,2.75,1.85,10.74,1.25
"Farm machinery and equipment","2006Q2",21.95,3.43,5.26,34.8,7.25,2.76,5.92,2.77
"Farm machinery and equipment","2006Q3",7.78,4.62,2.67,10.36,11.03,0.32,0.37,0.89
"Farm machinery and equipment","2006Q4",9.28,1.11,0.32,7.72,19.05,1.18,1.97,1.98
"Farm machinery and equipment","2007Q1",4.69,6.04,2.73,7.16,2.25,.,.,10.09
"Farm real estate","1999Q4",6.22,18.7,24.2,2.29,0.1,4.4,.,.
"Farm real estate","2000Q1",6.22,18.7,24.2,2.29,0.1,4.4,.,.
"Farm real estate","2000Q2",2.56,2.43,4.7,2.35,2.32,0.08,0.9,0.91
"Farm real estate","2000Q3",2.9,15.72,17.12,0.26,0.28,1.57,6.13,.
"Farm real estate","2000Q4",2.56,2.43,4.7,2.35,2.32,0.08,0.9,0.91
"Farm real estate","2001Q1",2.5,5.1,0.11,3.68,0.71,7.41,0.96,1.08
"Farm real estate","2001Q2",5.2,6.37,12.99,4.81,3.36,5.31,1.02,2
"Farm real estate","2001Q3",9.44,13.16,22.98,1.64,13.06,1.52,1.44,44.93
"Farm real estate","2001Q4",5.93,8.81,6.68,5.12,6.91,1.56,2.06,15.33
"Farm real estate","2002Q1",3.96,21.21,12.17,1.65,0.55,5.5,2.43,.
"Farm real estate","2002Q2",6.15,3.74,5.9,8.97,3.96,1.76,3.56,2.04
"Farm real estate","2002Q3",4.12,13.37,37.41,3.19,0.15,4.12,5.66,.
"Farm real estate","2002Q4",3.09,18.44,1.5,1.26,4.63,0.01,7.58,1.9
"Farm real estate","2003Q1",3.28,38.2,11.19,1.31,0.01,7.05,3.68,.
"Farm real estate","2003Q2",4.05,1.14,6.49,3.63,4.3,0.15,8.58,3.55
"Farm real estate","2003Q3",5.9,.,4.39,7.99,6.53,.,3.28,7.91
"Farm real estate","2003Q4",3.48,2.95,8.07,1.23,3.49,9.1,6.33,3
"Farm real estate","2004Q1",4.69,32.44,3.11,3.36,1.81,.,14.72,1.56
"Farm real estate","2004Q2",2.97,24.74,1.17,3.92,3.07,0.64,5.83,.
"Farm real estate","2004Q3",4.7,11.71,8.71,7.32,3.42,0.15,0.46,0.12
"Farm real estate","2004Q4",6.2,.,3.81,5.68,10.43,4.51,.,3.46
"Farm real estate","2005Q1",7.33,.,5.85,4.57,9.33,.,.,36.16
"Farm real estate","2005Q2",5.96,10.27,0.33,2.94,9.95,0.02,11.93,12.66
"Farm real estate","2005Q3",6.13,.,4.5,7.18,2.43,.,81.05,1.88
"Farm real estate","2005Q4",6.65,.,3.55,9.8,2.83,.,54.73,5.89
"Farm real estate","2006Q1",3.87,7.6,3.92,4.84,2.34,.,8.64,3.6
"Farm real estate","2006Q2",2.21,2.35,2.03,0.95,4,0.05,5.7,7.04
"Farm real estate","2006Q3",4.18,7.12,3.24,4.3,3.12,0.2,0.83,9.54
"Farm real estate","2006Q4",8.09,3.11,18.56,6.4,5.39,1.61,.,17.03
"Farm real estate","2007Q1",4.18,0.39,5.21,8.53,1.41,.,0.66,4.13
"Other","1999Q4",20.77,16.15,16.64,18.24,27.69,34.01,42.15,11.22
"Other","2000Q1",20.77,16.15,16.64,18.24,27.69,34.01,42.15,11.22
"Other","2000Q2",33.01,20.24,18.44,32.94,37.73,33.52,73.18,17.36
"Other","2000Q3",22.53,0.92,22.67,16.25,28.9,22.21,72.3,21.35
"Other","2000Q4",33.01,20.24,18.44,32.94,37.73,33.52,73.18,17.36
"Other","2001Q1",43.02,14.7,6.11,34.61,62.03,45.49,76.09,25.46
"Other","2001Q2",29.42,32.76,16.47,31.72,25.26,21.97,48.64,49.57
"Other","2001Q3",28.97,17.13,8.03,27.27,33.42,34.14,71.09,27.24
"Other","2001Q4",36.17,0.54,13.14,36.1,48.89,41.54,75.12,30.16
"Other","2002Q1",28.41,4.07,11.64,28.25,37.49,27.96,67.65,9.33
"Other","2002Q2",24.04,0.19,20.53,19.47,30.37,28.65,58.32,18.17
"Other","2002Q3",26.16,0.09,2.83,30.9,21.02,25.32,79.08,28.99
"Other","2002Q4",37.51,11.23,52.11,31.5,32.95,32.5,74.26,34.47
"Other","2003Q1",23.64,11.48,4.69,26.66,23.33,18.34,63.95,10.21
"Other","2003Q2",24.11,0.17,15.96,27.54,21.65,23.66,43.45,30.37
"Other","2003Q3",23.62,9.85,5.95,33.63,19.13,19.65,61.98,29.72
"Other","2003Q4",26.41,2.78,9.04,22.81,22.14,15.48,71.22,76.39
"Other","2004Q1",29.67,0.38,18.02,19.15,23.78,18.31,41.15,90.54
"Other","2004Q2",34.42,6.14,13.75,22.51,14.4,19.03,62.67,95.96
"Other","2004Q3",38,2.96,8.42,19.89,24.53,12.86,65.88,98.06
"Other","2004Q4",21.18,21.71,17.02,23.67,15.25,22.5,52.08,70.63
"Other","2005Q1",17.09,14.54,21.62,16.45,17.58,16.44,.,5.88
"Other","2005Q2",34.39,0.39,6.54,28.95,45.3,29.77,38.37,46.15
"Other","2005Q3",26.4,17.6,12.44,26.69,26.82,25.2,12.8,64.28
"Other","2005Q4",17.93,1.43,6.09,12.57,31.49,20.25,29.79,51.04
"Other","2006Q1",19.88,3.34,7.27,18.29,26.89,12.14,6.95,71.84
"Other","2006Q2",27.19,14.43,20.53,24.45,30.31,13.86,36.19,63.11
"Other","2006Q3",37.37,1.11,4.26,25.67,43.4,18.56,97.82,78.12
"Other","2006Q4",26.55,1.89,10.45,32.17,25.26,32.3,82.68,32.22
"Other","2007Q1",31.63,4.05,16.81,23.11,50.81,20.2,99.27,31.34
"Farm real estate","1999Q4",16.69,0.67,13.36,18.96,18.24,23.63,5.62,8.59
"Farm real estate","2000Q1",16.69,0.67,13.36,18.96,18.24,23.63,5.62,8.59
"Farm real estate","2000Q2",14.13,4.1,15.37,17.24,10.82,17.82,7.1,2.72
"Farm real estate","2000Q3",12.33,3.42,15.34,10.44,13.27,20.8,13.68,8.41
"Farm real estate","2000Q4",14.13,4.1,15.37,17.24,10.82,17.82,7.1,2.72
"Farm real estate","2001Q1",13.66,6.15,15.34,19.05,7.75,20.19,6.98,13.51
"Farm real estate","2001Q2",17.95,11.9,24.16,20.71,14.48,18.11,19.38,2.4
"Farm real estate","2001Q3",17.65,22.05,39.81,10.11,22.4,14.3,16.05,0.43
"Farm real estate","2001Q4",13.07,8.83,23.05,12.03,11.09,8.42,9.31,25.3
"Farm real estate","2002Q1",16.33,70.7,49.69,7.95,9.06,9.52,2.51,.
"Farm real estate","2002Q2",12.35,2.05,13.34,14.1,9.77,20.33,18.1,1.39
"Farm real estate","2002Q3",6.45,21.84,10.8,7.22,1.97,20.82,10.95,12.93
"Farm real estate","2002Q4",5.4,5.85,3.07,3.96,7.46,2.1,13.73,4.06
"Farm real estate","2003Q1",8.85,7.53,24.98,5.75,7.46,6.76,13.05,13.07
"Farm real estate","2003Q2",15.8,46.08,20.95,16.95,8.74,8.38,9.67,16.6
"Farm real estate","2003Q3",9.1,0.09,7.25,10.26,9.35,8.48,12.12,7.78
"Farm real estate","2003Q4",5.87,7.75,10.49,4.65,3.58,12.64,14.74,6.74
"Farm real estate","2004Q1",9.45,24.23,6.87,9.02,7.44,17.25,3.92,14.01
"Farm real estate","2004Q2",9.03,31.4,15.83,7.82,8.87,8.26,9.17,6.01
"Farm real estate","2004Q3",10.2,13.31,16.85,14.11,10.27,1.04,19.67,0.48
"Farm real estate","2004Q4",6.55,8.59,3.13,5.34,9.07,1.59,4.59,45.47
"Farm real estate","2005Q1",11.09,9.81,7.12,11.45,9.3,3.34,.,36.72
"Farm real estate","2005Q2",8.22,4.73,0.98,6.11,9.32,18.31,76.96,15.51
"Farm real estate","2005Q3",6.89,.,9.07,7,3.71,11.76,84.15,5.39
"Farm real estate","2005Q4",6.75,12.44,6.22,6.04,6.1,12.22,13,11.44
"Farm real estate","2006Q1",8.58,13.94,7.4,10.37,6.39,3,11.15,7.13
"Farm real estate","2006Q2",7.04,2.48,6.27,4.12,7.72,15.75,5.86,35.91
"Farm real estate","2006Q3",9.16,4.17,17.11,7.65,6.2,4.92,5.56,19.59
"Farm real estate","2006Q4",12.56,18.36,23.65,10.72,7.13,2.55,37.76,26.9
"Farm real estate","2007Q1",14.91,2.9,9.22,14.06,17.27,5.2,75.05,23.24
"Other","1999Q4",77.89,67.2,80.12,79.16,74.69,73.45,90.46,86.68
"Other","2000Q1",77.89,67.2,80.12,79.16,74.69,73.45,90.46,86.68
"Other","2000Q2",78.56,90.65,66.47,76.39,87.46,80.54,84.7,89.74
"Other","2000Q3",82.68,92.79,80.79,81.98,83.86,78.69,84.21,89.61
"Other","2000Q4",78.56,90.65,66.47,76.39,87.46,80.54,84.7,89.74
"Other","2001Q1",78.86,77.72,75.21,75.33,89.74,69.36,56.68,85.66
"Other","2001Q2",76.08,80.94,67.51,71.06,82.77,81.3,71.83,92.55
"Other","2001Q3",71.6,67.36,57.33,84.45,57.92,84.54,77.26,52.4
"Other","2001Q4",82.19,89.63,73.48,82.85,82.54,90.62,84.81,70.77
"Other","2002Q1",75.38,92.35,69.01,74.55,79.83,70.47,68.77,94.6
"Other","2002Q2",82.02,88.04,81.31,79.34,85.7,76.32,77.68,92.05
"Other","2002Q3",86.1,71.89,85.63,81.54,93.6,78.03,69.25,86.48
"Other","2002Q4",84.12,93.03,93.58,83.35,80.28,91.27,69.99,74.96
"Other","2003Q1",85.72,84.58,67.23,87.48,88.98,91.91,83.05,80.45
"Other","2003Q2",75.47,47.13,66.72,68.96,87.89,90.88,80.65,79.51
"Other","2003Q3",83.71,98.94,89.53,76.79,89.16,91.52,75.87,37.13
"Other","2003Q4",89.07,91.36,81.28,88.23,95.46,86.97,51.26,92.32
"Other","2004Q1",81.95,73.83,91.03,71.28,87.61,82.46,88.9,85.42
"Other","2004Q2",87.22,58.23,79.37,86.36,88.04,90.35,83.1,93.76
"Other","2004Q3",84.46,85.62,73.48,79.73,86.7,98.96,64.18,95.68
"Other","2004Q4",87.43,89.68,91.77,85.28,89.36,95.19,90.74,46.33
"Other","2005Q1",83.01,77.78,84.52,84.56,83.03,96.66,95.54,60.24
"Other","2005Q2",81.39,93.04,97.66,85.3,75.45,79.86,22.36,77.02
"Other","2005Q3",88.32,96.14,83.03,89.4,89.42,88.2,15.8,82.52
"Other","2005Q4",89.14,86.96,89.43,88.69,92.59,84.31,68.19,81.57
"Other","2006Q1",86.81,83.85,90.74,84.09,88.56,94.91,84.27,87.76
"Other","2006Q2",88.62,76.18,88.63,92.74,88.18,78.44,90.97,59.57
"Other","2006Q3",80.4,95.83,79.21,84.6,72,93.86,93.24,76.71
"Other","2006Q4",81.97,67.38,69.85,82.93,89.49,97.19,61.49,67.65
"Other","2007Q1",82.22,93.8,88.45,81.83,81.4,94.8,24.95,70.13
