 
"Organization Name - Effective 27-AUG-06","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK060109-04","6940862","Radominskapandya, Anna ","Glucuronidation of Fatty Acids by Human ER & Nuclear UGT","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 329,894","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK067284-02","6870247","Dobretsov, Maxim ","Hyperglycemia-Induced Mechanical Hyperalgesia","ANESTHESIOLOGY","ANESTHESIOLOGY","SCHOOLS OF MEDICINE","$ 291,100","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01ES007804-10","6930465","Zimniak, Piotr ","Glutathione transferases and oxidative stress toxicology","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 278,088","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01EY010894-10","6852618","Zhou, Z Jimmy","Physiology of the Vertebrate Retina","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 292,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01EY011352-11","6982647","Abraham, Edathara C","Modification of Alpha-Crystallin Chaperone Function","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 319,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01GM026861-24","6863723","Jennings, Michael L","MECHANISMS OF SULFATE TRANSPORT AND REGULATION","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 234,047","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01GM059400-07","6914869","Raney, Kevin D","DNA Unwinding and Translocation by Helicases","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 260,995","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01GM071322-03","6941693","Gurley, Bill J","Clinical Assessment of Herb-Drug Interactions","PHARMACEUTICAL SCIENCES","PHARMACOLOGY","SCHOOLS OF PHARMACY","$ 305,300","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HD035688-07","6898686","Macnicol, Angus M","Maternal gene regulation in early veterbrate development","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 222,557","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL050545-12","6819239","Ware, Jerry L","Transgenic Analysis of Platelet Receptor Expression","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 319,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL064806-07","6900316","Rusch, Nancy J","Renovascular Calcium Channels in Hypertension","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 284,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL069951-05","6878507","Ware, Jerry L","Characterization and Analysis of Platelet Septins","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 319,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01MH065297-04","6897919","Kielian, Tammy L","Receptors Involved in Microglial Responses to S. aureus","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 292,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NR007771-04","6883944","Richards, Kathy C","Effect of Activities and Exercise on Sleep in Dementia","NURSING SCIENCE","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 445,173","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS020246-20","6909038","Garciarill, Edgar E","Central Modulation of Rhythms","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 291,032","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS036277-06","6844760","Lowery, Curtis L","Fetal Magnetoencephalography and Evoked Potentials","OBSTETRICS-GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 928,600","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS036728-05","6835646","Dienel, Gerald A","Functional Metabolism in Working Brain","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 310,625","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS037821-07","6856499","Wight, Patricia A","Activation of Plp gene expression in oligodendrocytes","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 266,289","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS040730-06","6826257","Kielian, Tammy L","The Pathogenesis of Brain Abscess","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 303,525","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS042860-03","6830280","Drew, Paul D","PPAR-gamma Immune Regulation and Multiple Sclerosis","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 306,720","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS046439-02","6845328","Barger, Steven W","Sp1, kappa-B enhancers and transcriptions in neurons","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 262,700","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01NS047499-02","6896539","Zhang, Xuming ","Demyelinating Disease-Viral and Cellular Function","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 195,860","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03CA110947-02","6945895","Lang, Nicholas P","Molecular Genetics of NAT1 and NAT2 in Prostate Cancer","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 71,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R03HD044875-02","6869508","Childs, Gwen V","Regulation of Leptin Production by Gonadotropes","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 71,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R21AA014888-02","6890913","Kane, Cynthia Jm","Alcohol Pathogenesis in CNS Microglial Cells","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 168,625","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R21AI059244-02","6879565","Zhang, Xuming ","Developing a recombinanat vacine for SARS","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 284,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R21HD047467-02","6915099","Childs, Gwen V","Cellular Basis for Non-Parallel Gonadotropin Release","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 175,400","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R21HL076833-02","6875581","Eigenbrodt, Marsha L","Improving Vascular Measures of Cardiovascular Disease","EPIDEMIOLOGY","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF PUBLIC HEALTH","$ 142,000","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R37DA006526-16","6835171","Bickel, Warren K","BEHAVIORAL ECONOMICS OF DRUG CHOICE","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 319,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R37DK036823-22","6871181","Mock, Donald M","Aspects of Biotin Nutrition","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 319,918","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5T32ES010952-05","6918085","Hinson, Jack A","Biochemical and Behavioral Mechanisms of Toxicology","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 186,299","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5T32MH020024-07","6885311","Smith, Grichard ","Training Program in Mental Health Services Research","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 139,455","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5U01AI061204-02","6908186","Zhang, Xuming ","Developing recombinant coronavirus vaccines for SARS","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 742,409","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01AR051455-02","7048304","Yang, Liu ","CHONDROGENESIS AND HISTONE MODIFICATION ENZYMES","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 290,745","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01CA063121-11","7121434","Moros, Eduardo G","ULTRASOUND SYSTEMS FOR SIMULTANEOUS THERMORADIOTHERAPY","RADIOLOGY","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 114,872","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01CA090941-05","7067063","Yang, Liu ","TLS and TLS Fusion Proteins in Leukemia","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 239,801","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01HL059238-08","7001760","Rusch, Nancy J","Role of Cerebrovascular K+ Channels in Hypertension","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 308,700","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","7R01HL071558-02","6877728","Das, Kumuda C","DNA damage signaling in oxygen toxicity in lung cells","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 284,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"VEGRANDIS, LLC","2R42RR018443-02","6994064","Aguilar, Zoraida P","Magnetohydrodynamic-based Laboratories on a Chip","","","","$ 687,645","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"XENOCEPT, INC.","1R41AI066577-01","6993541","Crew, Mark D","Exploiting porcine cytomegalovirus stealth mechanisms","","","","$ 142,035","LITTLE ROCK","ARKANSAS","72212-3882","","","","None","N","","  "
